COMUNE,PRO_COM_T,Abitanti,Capoluogo,Sigla
Corteno Golgi,017063,1927,Brescia,BS
Corzano,017064,1420,Brescia,BS
Edolo,017068,4474,Brescia,BS
Gromo,016118,1195,Bergamo,BG
Grone,016119,886,Bergamo,BG
Isola di Fondra,016121,173,Bergamo,BG
Isso,016122,648,Bergamo,BG
Lallio,016123,4162,Bergamo,BG
Leffe,016124,4411,Bergamo,BG
Lenna,016125,574,Bergamo,BG
Levate,016126,3748,Bergamo,BG
Locatello,016127,831,Bergamo,BG
Lurano,016129,2863,Bergamo,BG
Luzzana,016130,894,Bergamo,BG
Madone,016131,4083,Bergamo,BG
Mezzoldo,016134,162,Bergamo,BG
Alzate Brianza,013007,4900,Como,CO
Anzano del Parco,013009,1835,Como,CO
Argegno,013011,679,Como,CO
Asso,013013,3572,Como,CO
Barni,013015,582,Como,CO
Bene Lario,013021,329,Como,CO
Beregazzo con Figliaro,013022,2780,Como,CO
Binago,013023,4792,Como,CO
Bizzarone,013024,1722,Como,CO
Blessagno,013025,286,Como,CO
Blevio,013026,1217,Como,CO
Brenna,013029,2180,Como,CO
Brienno,013030,330,Como,CO
Brunate,013032,1685,Como,CO
Bulgarograsso,013034,4081,Como,CO
Caglio,013037,494,Como,CO
Campione d'Italia,013040,2003,Como,CO
Villa di Tirano,014078,2969,Sondrio,SO
Albairate,015005,4735,Milano,MI
Basiano,015014,3702,Milano,MI
Bellinzago Lombardo,015016,3868,Milano,MI
Bernate Ticino,015019,3059,Milano,MI
Besate,015022,2054,Milano,MI
Boffalora sopra Ticino,015026,4093,Milano,MI
Fiesse,017071,2022,Brescia,BS
Gambara,017073,4660,Brescia,BS
Gardone Riviera,017074,2658,Brescia,BS
Gargnano,017076,2826,Brescia,BS
Gianico,017079,2143,Brescia,BS
Campo di Trens,021016,2667,Bolzano,BZ
Castelbello-Ciardes,021018,2286,Bolzano,BZ
Diano San Pietro,008028,1106,Imperia,IM
Dolceacqua,008029,2068,Imperia,IM
Dolcedo,008030,1323,Imperia,IM
Brissago-Valtravaglia,012022,1240,Varese,VA
Brunello,012023,937,Varese,VA
Ardenno,014005,3257,Sondrio,SO
Bema,014006,118,Sondrio,SO
Berbenno di Valtellina,014007,4098,Sondrio,SO
Bianzone,014008,1295,Sondrio,SO
Bormio,014009,4161,Sondrio,SO
Buglio in Monte,014010,1999,Sondrio,SO
Caiolo,014011,1084,Sondrio,SO
Campodolcino,014012,934,Sondrio,SO
Caspoggio,014013,1367,Sondrio,SO
Castello dell'Acqua,014014,619,Sondrio,SO
Castione Andevenno,014015,1575,Sondrio,SO
Cedrasco,014016,430,Sondrio,SO
Cercino,014017,794,Sondrio,SO
Costa Serina,016247,897,Bergamo,BG
Algua,016248,658,Bergamo,BG
Cornalba,016249,297,Bergamo,BG
Medolago,016250,2402,Bergamo,BG
Solza,016251,2038,Bergamo,BG
Sant'Omobono Terme,016252,3892,Bergamo,BG
Val Brembilla,016253,4256,Bergamo,BG
Acquafredda,017001,1504,Brescia,BS
Agnosine,017003,1665,Brescia,BS
Alfianello,017004,2425,Brescia,BS
Anfo,017005,467,Brescia,BS
Averara,016014,182,Bergamo,BG
Aviatico,016015,557,Bergamo,BG
Azzone,016017,388,Bergamo,BG
Bagnatica,016018,4396,Bergamo,BG
Barbata,016019,698,Bergamo,BG
Bariano,016020,4237,Bergamo,BG
Barzana,016021,2001,Bergamo,BG
Bedulita,016022,709,Bergamo,BG
Berbenno,016023,2443,Bergamo,BG
Berzo San Fermo,016025,1397,Bergamo,BG
Bianzano,016026,590,Bergamo,BG
Blello,016027,76,Bergamo,BG
Borgo di Terzo,016032,1166,Bergamo,BG
Brusimpiano,012024,1179,Varese,VA
Buguggiate,012025,3127,Varese,VA
Cadegliano-Viconago,012027,2212,Varese,VA
Cantello,012030,4764,Varese,VA
Caravate,012031,2595,Varese,VA
Caronno Varesino,012035,4882,Varese,VA
Casale Litta,012036,2719,Varese,VA
Casalzuigno,012037,1384,Varese,VA
Casciago,012038,3705,Varese,VA
Cassano Valcuvia,012041,662,Varese,VA
Castello Cabiaglio,012043,559,Varese,VA
Castelseprio,012044,1305,Varese,VA
Castelveccana,012045,1961,Varese,VA
Chiesa in Valmalenco,014019,2433,Sondrio,SO
Chiuro,014020,2525,Sondrio,SO
Cino,014021,340,Sondrio,SO
Civo,014022,1127,Sondrio,SO
Colorina,014023,1377,Sondrio,SO
Dazio,014025,457,Sondrio,SO
Delebio,014026,3344,Sondrio,SO
Dubino,014027,3711,Sondrio,SO
Faedo Valtellino,014028,554,Sondrio,SO
Forcola,014029,796,Sondrio,SO
Fusine,014030,562,Sondrio,SO
Angolo Terme,017006,2344,Brescia,BS
Artogne,017007,3614,Brescia,BS
Azzano Mella,017008,3396,Brescia,BS
Bagolino,017010,3807,Brescia,BS
Barbariga,017011,2320,Brescia,BS
Barghe,017012,1159,Brescia,BS
Bassano Bresciano,017013,2329,Brescia,BS
Berlingo,017015,2791,Brescia,BS
Berzo Demo,017016,1582,Brescia,BS
Berzo Inferiore,017017,2468,Brescia,BS
Bossico,016033,999,Bergamo,BG
Bracca,016035,715,Bergamo,BG
Branzi,016036,694,Bergamo,BG
Brumano,016041,114,Bergamo,BG
Calvenzano,016047,4304,Bergamo,BG
Camerata Cornello,016048,599,Bergamo,BG
Canonica d'Adda,016049,4327,Bergamo,BG
Capizzone,016050,1210,Bergamo,BG
Grezzago,015110,3071,Milano,MI
Gudo Visconti,015112,1622,Milano,MI
Liscate,015122,4134,Milano,MI
Rondanina,010050,62,Genova,GE
Rossiglione,010051,2628,Genova,GE
Rovegno,010052,506,Genova,GE
San Colombano Certenoli,010053,2618,Genova,GE
Santo Stefano d'Aveto,010056,1057,Genova,GE
Savignone,010057,3083,Genova,GE
Garzeno,013106,708,Como,CO
Gera Lario,013107,1035,Como,CO
Grandate,013110,2852,Como,CO
Grandola ed Uniti,013111,1325,Como,CO
Griante,013113,620,Como,CO
Laglio,013119,891,Como,CO
Laino,013120,531,Como,CO
Lambrugo,013121,2489,Como,CO
Lasnigo,013123,471,Como,CO
Lezzeno,013126,2024,Como,CO
Limido Comasco,013128,3898,Como,CO
Livo,013130,166,Como,CO
Locate Varesino,013131,4337,Como,CO
Longone al Segrino,013134,1937,Como,CO
Pontida,016171,3358,Bergamo,BG
Pradalunga,016173,4592,Bergamo,BG
Predore,016174,1880,Bergamo,BG
Premolo,016175,1102,Bergamo,BG
Presezzo,016176,4839,Bergamo,BG
Pumenengo,016177,1699,Bergamo,BG
Ranzanico,016179,1230,Bergamo,BG
Riva di Solto,016180,913,Bergamo,BG
Rogno,016182,3871,Bergamo,BG
Roncobello,016184,420,Bergamo,BG
Roncola,016185,801,Bergamo,BG
Rota d'Imagna,016186,920,Bergamo,BG
Masate,015136,3634,Milano,MI
Mesero,015144,4231,Milano,MI
Morimondo,015150,1057,Milano,MI
Nosate,015155,649,Milano,MI
Noviglio,015158,4577,Milano,MI
Sori,010060,4078,Genova,GE
Tiglieto,010061,513,Genova,GE
Torriglia,010062,2219,Genova,GE
Tribogna,010063,592,Genova,GE
Uscio,010064,2171,Genova,GE
Valbrevenna,010065,764,Genova,GE
Vobbia,010066,370,Genova,GE
Zoagli,010067,2400,Genova,GE
Ameglia,011001,4364,La Spezia,SP
Beverino,011003,2329,La Spezia,SP
Luisago,013135,2767,Como,CO
Lurago Marinone,013137,2596,Como,CO
Magreglio,013139,652,Como,CO
Maslianico,013144,3269,Como,CO
Menaggio,013145,3124,Como,CO
Merone,013147,4092,Como,CO
Moltrasio,013152,1596,Como,CO
Monguzzo,013153,2378,Como,CO
Montemezzo,013155,221,Como,CO
Montorfano,013157,2600,Como,CO
Musso,013160,958,Como,CO
Nesso,013161,1202,Como,CO
Novedrate,013163,2863,Como,CO
Oltrona di San Mamette,013169,2404,Como,CO
Orsenigo,013170,2703,Como,CO
Rovetta,016187,4158,Bergamo,BG
San Giovanni Bianco,016188,4732,Bergamo,BG
San Pellegrino Terme,016190,4827,Bergamo,BG
Santa Brigida,016191,540,Bergamo,BG
Schilpario,016195,1153,Bergamo,BG
Sedrina,016196,2510,Bergamo,BG
Selvino,016197,2020,Bergamo,BG
Ossona,015164,4326,Milano,MI
Ozzero,015165,1435,Milano,MI
Bonassola,011005,836,La Spezia,SP
Borghetto di Vara,011006,901,La Spezia,SP
Brugnato,011007,1290,La Spezia,SP
Calice al Cornoviglio,011008,1087,La Spezia,SP
Carro,011009,520,La Spezia,SP
Carrodano,011010,486,La Spezia,SP
Deiva Marina,011012,1373,La Spezia,SP
Framura,011014,629,La Spezia,SP
Peglio,013178,186,Como,CO
Pianello del Lario,013183,1062,Como,CO
Pigra,013184,237,Como,CO
Plesio,013185,834,Como,CO
Pognana Lario,013186,692,Como,CO
Ponna,013187,233,Como,CO
Ponte Lambro,013188,4364,Como,CO
Porlezza,013189,4947,Como,CO
Proserpio,013192,944,Como,CO
Pusiano,013193,1383,Como,CO
Rezzago,013195,305,Como,CO
Rodero,013197,1308,Como,CO
Ronago,013199,1715,Como,CO
Sala Comacina,013203,508,Como,CO
San Bartolomeo Val Cavargna,013204,991,Como,CO
San Nazzaro Val Cavargna,013207,290,Como,CO
Schignano,013211,870,Como,CO
Senna Comasco,013212,3158,Como,CO
Serina,016199,2062,Bergamo,BG
Solto Collina,016200,1804,Bergamo,BG
Songavazzo,016201,710,Bergamo,BG
Sotto il Monte Giovanni XXIII,016203,4497,Bergamo,BG
Spinone al Lago,016205,996,Bergamo,BG
Strozza,016208,1068,Bergamo,BG
Suisio,016209,3820,Bergamo,BG
Taleggio,016210,546,Bergamo,BG
Tavernola Bergamasca,016211,2018,Bergamo,BG
Robecchetto con Induno,015183,4853,Milano,MI
Rodano,015185,4586,Milano,MI
San Zenone al Lambro,015202,4466,Milano,MI
Maissana,011018,615,La Spezia,SP
Monterosso al Mare,011019,1402,La Spezia,SP
Pignone,011021,542,La Spezia,SP
Portovenere,011022,3420,La Spezia,SP
Riccò del Golfo di Spezia,011023,3628,La Spezia,SP
Riomaggiore,011024,1429,La Spezia,SP
Sorico,013216,1234,Como,CO
Sormano,013217,640,Como,CO
Stazzona,013218,617,Como,CO
Torno,013223,1150,Como,CO
Trezzone,013226,232,Como,CO
Uggiate-Trevano,013228,4940,Como,CO
Valbrona,013229,2665,Como,CO
Valmorea,013232,2687,Como,CO
Val Rezzo,013233,162,Como,CO
Valsolda,013234,1499,Como,CO
Veleso,013236,200,Como,CO
Veniano,013238,3064,Como,CO
Vercana,013239,756,Como,CO
Ceretto Lomellina,018044,181,Pavia,PV
Cergnago,018045,707,Pavia,PV
Cervesina,018047,1180,Pavia,PV
Chignolo Po,018048,3984,Pavia,PV
Cigognola,018049,1304,Pavia,PV
Codevilla,018051,958,Pavia,PV
Confienza,018052,1580,Pavia,PV
Copiano,018053,1772,Pavia,PV
Corana,018054,772,Pavia,PV
Persico Dosimo,019068,3383,Cremona,CR
Pescarolo ed Uniti,019069,1518,Cremona,CR
Pessina Cremonese,019070,609,Cremona,CR
Pianengo,019072,2527,Cremona,CR
Pieranica,019073,1130,Cremona,CR
Pieve d'Olmi,019074,1269,Cremona,CR
Pieve San Giacomo,019075,1597,Cremona,CR
Pozzaglio ed Uniti,019077,1441,Cremona,CR
Quintano,019078,894,Cremona,CR
Ricengo,019079,1773,Cremona,CR
Ripalta Arpina,019080,1001,Cremona,CR
Ripalta Cremasca,019081,3417,Cremona,CR
Ripalta Guerina,019082,526,Cremona,CR
Rivarolo del Re ed Uniti,019083,1869,Cremona,CR
Naz-Sciaves,021057,3245,Bolzano,BZ
Nova Levante,021058,1999,Bolzano,BZ
Nova Ponente,021059,3977,Bolzano,BZ
Ora,021060,3875,Bolzano,BZ
Ortisei,021061,4864,Bolzano,BZ
Parcines,021062,3815,Bolzano,BZ
Perca,021063,1598,Bolzano,BZ
Plaus,021064,737,Bolzano,BZ
Ponte Gardena,021065,191,Bolzano,BZ
Roccavignale,009054,773,Savona,SV
Sassello,009055,1767,Savona,SV
Spotorno,009057,3626,Savona,SV
Stella,009058,2960,Savona,SV
Stellanello,009059,839,Savona,SV
Testico,009060,172,Savona,SV
Toirano,009061,2695,Savona,SV
Tovo San Giacomo,009062,2577,Savona,SV
Urbe,009063,688,Savona,SV
Corvino San Quirico,018057,1027,Pavia,PV
Costa de' Nobili,018058,395,Pavia,PV
Cozzo,018059,367,Pavia,PV
Cura Carpignano,018060,4928,Pavia,PV
Dorno,018061,4615,Pavia,PV
Ferrera Erbognone,018062,1097,Pavia,PV
Filighera,018063,810,Pavia,PV
Fortunago,018064,358,Pavia,PV
Frascarolo,018065,1160,Pavia,PV
Galliavola,018066,194,Pavia,PV
Gambarana,018067,209,Pavia,PV
Robecco d'Oglio,019085,2287,Cremona,CR
Romanengo,019086,3169,Cremona,CR
Salvirola,019087,1151,Cremona,CR
San Bassano,019088,2182,Cremona,CR
San Daniele Po,019089,1319,Cremona,CR
San Giovanni in Croce,019090,1910,Cremona,CR
San Martino del Lago,019091,406,Cremona,CR
Scandolara Ravara,019092,1347,Cremona,CR
Scandolara Ripa d'Oglio,019093,545,Cremona,CR
Sergnano,019094,3542,Cremona,CR
Sesto ed Uniti,019095,3266,Cremona,CR
Solarolo Rainerio,019096,940,Cremona,CR
Postal,021066,1903,Bolzano,BZ
Prato allo Stelvio,021067,3646,Bolzano,BZ
Predoi,021068,545,Bolzano,BZ
Proves,021069,256,Bolzano,BZ
Racines,021070,4538,Bolzano,BZ
Rasun-Anterselva,021071,2911,Bolzano,BZ
Vendone,009066,362,Savona,SV
Vezzi Portio,009067,804,Savona,SV
Villanova d'Albenga,009068,2774,Savona,SV
Zuccarello,009069,296,Savona,SV
Avegno,010002,2525,Genova,GE
Bargagli,010003,2613,Genova,GE
Bogliasco,010004,4450,Genova,GE
Borzonasca,010005,1946,Genova,GE
Gerenzago,018071,1411,Pavia,PV
Godiasco Salice Terme,018073,3243,Pavia,PV
Golferenzo,018074,189,Pavia,PV
Gravellona Lomellina,018075,2738,Pavia,PV
Gropello Cairoli,018076,4389,Pavia,PV
Inverno e Monteleone,018077,1471,Pavia,PV
Langosco,018079,360,Pavia,PV
Lardirago,018080,1154,Pavia,PV
Linarolo,018081,2830,Pavia,PV
Sospiro,019099,3127,Cremona,CR
Spinadesco,019100,1491,Cremona,CR
Spineda,019101,616,Cremona,CR
Stagno Lombardo,019103,1502,Cremona,CR
Ticengo,019104,420,Cremona,CR
Torlino Vimercati,019105,473,Cremona,CR
Tornata,019106,458,Cremona,CR
Torre de' Picenardi,019107,2079,Cremona,CR
Torricella del Pizzo,019108,592,Cremona,CR
Trescore Cremasco,019109,2809,Cremona,CR
Trigolo,019110,1688,Cremona,CR
Vaiano Cremasco,019111,3655,Cremona,CR
Vailate,019112,4527,Cremona,CR
Rifiano,021073,1394,Bolzano,BZ
Rio di Pusteria,021074,3161,Bolzano,BZ
Rodengo,021075,1262,Bolzano,BZ
Salorno sulla strada del vino,021076,3807,Bolzano,BZ
Campo Ligure,010008,2841,Genova,GE
Carasco,010010,3743,Genova,GE
Casella,010012,3146,Genova,GE
Castiglione Chiavarese,010013,1569,Genova,GE
Ceranesi,010014,3735,Genova,GE
Cicagna,010016,2375,Genova,GE
Coreglia Ligure,010019,277,Genova,GE
Crocefieschi,010020,523,Genova,GE
Lirio,018082,125,Pavia,PV
Lomello,018083,2107,Pavia,PV
Lungavilla,018084,2459,Pavia,PV
Magherno,018085,1743,Pavia,PV
Marcignago,018086,2507,Pavia,PV
Marzano,018087,1661,Pavia,PV
Menconico,018089,355,Pavia,PV
Mezzana Bigli,018090,1053,Pavia,PV
Mezzana Rabattone,018091,472,Pavia,PV
Mezzanino,018092,1347,Pavia,PV
Miradolo Terme,018093,3830,Pavia,PV
Montalto Pavese,018094,884,Pavia,PV
Montebello della Battaglia,018095,1543,Pavia,PV
Vescovato,019113,3891,Cremona,CR
Volongo,019114,487,Cremona,CR
Voltido,019115,340,Cremona,CR
Piadena Drizzona,019116,3959,Cremona,CR
Acquanegra sul Chiese,020001,2815,Mantova,MN
Bozzolo,020007,4168,Mantova,MN
Canneto sull'Oglio,020008,4292,Mantova,MN
Casalmoro,020010,2232,Mantova,MN
San Candido,021077,3349,Bolzano,BZ
San Genesio Atesino,021079,3074,Bolzano,BZ
San Leonardo in Passiria,021080,3569,Bolzano,BZ
San Lorenzo di Sebato,021081,3879,Bolzano,BZ
San Martino in Badia,021082,1754,Bolzano,BZ
Davagna,010021,1842,Genova,GE
Fascia,010022,65,Genova,GE
Favale di Malvaro,010023,452,Genova,GE
Fontanigorda,010024,253,Genova,GE
Longhena,017093,557,Brescia,BS
Losine,017094,611,Brescia,BS
Lozio,017095,386,Brescia,BS
Maclodio,017097,1466,Brescia,BS
Magasa,017098,110,Brescia,BS
Mairano,017099,3542,Brescia,BS
Malegno,017100,2003,Brescia,BS
Malonno,017101,3106,Brescia,BS
Montecalvo Versiggia,018096,520,Pavia,PV
Montescano,018097,408,Pavia,PV
Montesegale,018098,271,Pavia,PV
Monticelli Pavese,018099,693,Pavia,PV
Montù Beccaria,018100,1658,Pavia,PV
Mornico Losana,018101,626,Pavia,PV
Nicorvo,018103,289,Pavia,PV
Olevano di Lomellina,018104,721,Pavia,PV
Oliva Gessi,018105,169,Pavia,PV
Ottobiano,018106,1098,Pavia,PV
Palestro,018107,1884,Pavia,PV
Pancarana,018108,313,Pavia,PV
Casaloldo,020011,2755,Mantova,MN
Rivarolo Mantovano,020050,2474,Mantova,MN
Sabbioneta,020054,4124,Mantova,MN
San Giacomo delle Segnate,020056,1520,Mantova,MN
San Martino in Passiria,021083,3244,Bolzano,BZ
San Pancrazio,021084,1541,Bolzano,BZ
Santa Cristina Valgardena,021085,2015,Bolzano,BZ
Scena,021087,2916,Bolzano,BZ
Marcheno,017104,4274,Brescia,BS
Marmentino,017105,655,Brescia,BS
Marone,017106,3146,Brescia,BS
Milzano,017108,1733,Brescia,BS
Moniga del Garda,017109,2621,Brescia,BS
Monno,017110,536,Brescia,BS
Monte Isola,017111,1688,Brescia,BS
Monticelli Brusati,017112,4558,Brescia,BS
Mura,017115,780,Brescia,BS
Muscoline,017116,2675,Brescia,BS
Parona,018109,1940,Pavia,PV
Pietra de' Giorgi,018111,808,Pavia,PV
Pieve Albignola,018112,872,Pavia,PV
Pieve del Cairo,018113,1828,Pavia,PV
Pieve Porto Morone,018114,2655,Pavia,PV
Pinarolo Po,018115,1714,Pavia,PV
Pizzale,018116,692,Pavia,PV
Ponte Nizza,018117,779,Pavia,PV
Portalbera,018118,1480,Pavia,PV
Rea,018119,410,Pavia,PV
Redavalle,018120,1037,Pavia,PV
San Giovanni del Dosso,020058,1247,Mantova,MN
San Martino dall'Argine,020059,1678,Mantova,MN
Schivenoglia,020060,1132,Mantova,MN
Serravalle a Po,020062,1471,Mantova,MN
Solferino,020063,2686,Mantova,MN
Sustinente,020064,2048,Mantova,MN
Selva dei Molini,021088,1421,Bolzano,BZ
Selva di Val Gardena,021089,2586,Bolzano,BZ
Senales,021091,1245,Bolzano,BZ
Sesto,021092,1879,Bolzano,BZ
Niardo,017118,2018,Brescia,BS
Nuvolento,017119,3923,Brescia,BS
Nuvolera,017120,4758,Brescia,BS
Odolo,017121,1929,Brescia,BS
Offlaga,017122,4077,Brescia,BS
Ome,017123,3208,Brescia,BS
Ono San Pietro,017124,980,Brescia,BS
Orzivecchi,017126,2484,Brescia,BS
Ossimo,017128,1530,Brescia,BS
Padenghe sul Garda,017129,4729,Brescia,BS
Paderno Franciacorta,017130,3671,Brescia,BS
Retorbido,018121,1577,Pavia,PV
Robecco Pavese,018124,541,Pavia,PV
Rocca de' Giorgi,018125,83,Pavia,PV
Rocca Susella,018126,209,Pavia,PV
Rognano,018127,626,Pavia,PV
Romagnese,018128,629,Pavia,PV
Roncaro,018129,1558,Pavia,PV
Rosasco,018130,555,Pavia,PV
Rovescala,018131,875,Pavia,PV
San Cipriano Po,018133,489,Pavia,PV
San Damiano al Colle,018134,643,Pavia,PV
San Genesio ed Uniti,018135,3952,Pavia,PV
San Giorgio di Lomellina,018136,1060,Pavia,PV
Villimpenta,020068,2149,Mantova,MN
Borgocarbonara,020073,1928,Mantova,MN
Sluderno,021094,1839,Bolzano,BZ
Stelvio,021095,1150,Bolzano,BZ
Terento,021096,1759,Bolzano,BZ
Terlano,021097,4538,Bolzano,BZ
Termeno sulla strada del vino,021098,3438,Bolzano,BZ
Tesimo,021099,1994,Bolzano,BZ
Tires,021100,1010,Bolzano,BZ
Tirolo,021101,2443,Bolzano,BZ
Paisco Loveno,017131,175,Brescia,BS
Paitone,017132,2126,Brescia,BS
Paratico,017134,4853,Brescia,BS
Paspardo,017135,599,Brescia,BS
Pavone del Mella,017137,2763,Brescia,BS
San Paolo,017138,4495,Brescia,BS
Pertica Alta,017139,540,Brescia,BS
Pertica Bassa,017140,605,Brescia,BS
Pezzaze,017141,1469,Brescia,BS
Pian Camuno,017142,4770,Brescia,BS
Santa Cristina e Bissone,018139,1900,Pavia,PV
Santa Giuletta,018140,1592,Pavia,PV
Sant'Alessio con Vialone,018141,973,Pavia,PV
Santa Margherita di Staffora,018142,472,Pavia,PV
Santa Maria della Versa,018143,2299,Pavia,PV
Sant'Angelo Lomellina,018144,793,Pavia,PV
San Zenone al Po,018145,553,Pavia,PV
Sartirana Lomellina,018146,1539,Pavia,PV
Scaldasole,018147,887,Pavia,PV
Semiana,018148,204,Pavia,PV
Silvano Pietra,018149,663,Pavia,PV
Aldino,021001,1656,Bolzano,BZ
Andriano,021002,1038,Bolzano,BZ
Anterivo,021003,395,Bolzano,BZ
Avelengo,021005,780,Bolzano,BZ
Badia,021006,3471,Bolzano,BZ
Barbiano,021007,1754,Bolzano,BZ
Castellaro,008014,1228,Imperia,IM
Castel Vittorio,008015,274,Imperia,IM
Ceriana,008016,1164,Imperia,IM
Cervo,008017,1138,Imperia,IM
Cesio,008018,267,Imperia,IM
Chiusanico,008019,575,Imperia,IM
Chiusavecchia,008020,512,Imperia,IM
Cipressa,008021,1226,Imperia,IM
Civezza,008022,602,Imperia,IM
Cosio d'Arroscia,008023,187,Imperia,IM
Costarainera,008024,780,Imperia,IM
Diano Arentino,008025,684,Imperia,IM
Diano Castello,008026,2275,Imperia,IM
Polaveno,017144,2475,Brescia,BS
Polpenazze del Garda,017145,2710,Brescia,BS
Pompiano,017146,3769,Brescia,BS
Ponte di Legno,017148,1752,Brescia,BS
Pozzolengo,017151,3570,Brescia,BS
Pralboino,017152,2892,Brescia,BS
Preseglie,017153,1533,Brescia,BS
Sommo,018151,1164,Pavia,PV
Spessa,018152,526,Pavia,PV
Suardi,018154,616,Pavia,PV
Torrazza Coste,018155,1608,Pavia,PV
Torre Beretti e Castellaro,018156,554,Pavia,PV
Torre d'Arese,018157,939,Pavia,PV
Torre de' Negri,018158,316,Pavia,PV
Torre d'Isola,018159,2410,Pavia,PV
Torrevecchia Pia,018160,3538,Pavia,PV
Torricella Verzate,018161,823,Pavia,PV
Travacò Siccomario,018162,4463,Pavia,PV
Trivolzio,018163,2330,Pavia,PV
Braies,021009,654,Bolzano,BZ
Brennero,021010,2252,Bolzano,BZ
Bronzolo,021012,2783,Bolzano,BZ
Caines,021014,386,Bolzano,BZ
San Polo di Piave,026074,4916,Treviso,TV
Fossalta di Piave,027015,4149,Venezia,VE
Gruaro,027018,2771,Venezia,VE
Treppo Ligosullo,030191,710,Udine,UD
Capriva del Friuli,031001,1641,Gorizia,GO
Doberdò del Lago,031003,1351,Gorizia,GO
Dolegna del Collio,031004,329,Gorizia,GO
Farra d'Isonzo,031005,1674,Gorizia,GO
Fogliano Redipuglia,031006,3040,Gorizia,GO
Mariano del Friuli,031010,1477,Gorizia,GO
Lusia,029031,3415,Rovigo,RO
Melara,029032,1734,Rovigo,RO
Papozze,029034,1433,Rovigo,RO
Pettorazza Grimani,029035,1528,Rovigo,RO
Pincara,029036,1135,Rovigo,RO
Polesella,029037,3824,Rovigo,RO
Pontecchio Polesine,029038,2191,Rovigo,RO
Pellegrino Parmense,034028,983,Parma,PR
Roccabianca,034030,2923,Parma,PR
Solignano,034035,1717,Parma,PR
Soragna,034036,4830,Parma,PR
Medea,031011,977,Gorizia,GO
Moraro,031013,710,Gorizia,GO
Mossa,031014,1552,Gorizia,GO
Romans d'Isonzo,031015,3704,Gorizia,GO
Sagrado,031017,2181,Gorizia,GO
San Floriano del Collio,031019,755,Gorizia,GO
San Lorenzo Isontino,031020,1536,Gorizia,GO
San Pier d'Isonzo,031021,1989,Gorizia,GO
Savogna d'Isonzo,031022,1701,Gorizia,GO
Pramaggiore,027030,4680,Venezia,VE
Salara,029042,1115,Rovigo,RO
San Bellino,029043,1067,Rovigo,RO
San Martino di Venezze,029044,3848,Rovigo,RO
Stienta,029045,3153,Rovigo,RO
Trecenta,029047,2625,Rovigo,RO
Terenzo,034038,1197,Parma,PR
Tizzano Val Parma,034039,2117,Parma,PR
Tornolo,034040,916,Parma,PR
Valmozzola,034044,528,Parma,PR
Turriaco,031024,2857,Gorizia,GO
Villesse,031025,1685,Gorizia,GO
Monrupino,032002,863,Trieste,TS
Sgonico,032005,2030,Trieste,TS
Teglio Veneto,027040,2273,Venezia,VE
Torre di Mosto,027041,4786,Venezia,VE
Villadose,029048,4929,Rovigo,RO
Villamarzana,029049,1140,Rovigo,RO
Villanova del Ghebbo,029050,1976,Rovigo,RO
Villanova Marchesana,029051,898,Rovigo,RO
Aiello del Friuli,030001,2211,Udine,UD
Amaro,030002,849,Udine,UD
Ampezzo,030003,959,Udine,UD
Aquileia,030004,3225,Udine,UD
Arta Terme,030005,2068,Udine,UD
Varano de' Melegari,034045,2616,Parma,PR
Varsi,034046,1178,Parma,PR
Polesine Zibello,034050,3205,Parma,PR
Agazzano,033001,2002,Piacenza,PC
Alseno,033002,4697,Piacenza,PC
Besenzone,033003,954,Piacenza,PC
Agna,028002,3213,Padova,PD
Anguillara Veneta,028004,4248,Padova,PD
Artegna,030006,2885,Udine,UD
Attimis,030007,1710,Udine,UD
Bagnaria Arsa,030008,3428,Udine,UD
Bertiolo,030010,2418,Udine,UD
Bicinicco,030011,1821,Udine,UD
Bordano,030012,710,Udine,UD
Buttrio,030014,3930,Udine,UD
Camino al Tagliamento,030015,1577,Udine,UD
Carlino,030018,2775,Udine,UD
Cassacco,030019,2862,Udine,UD
Baiso,035003,3225,Reggio nell'Emilia,RE
Carpineti,035011,3956,Reggio nell'Emilia,RE
Bettola,033004,2685,Piacenza,PC
Bobbio,033005,3548,Piacenza,PC
Calendasco,033008,2410,Piacenza,PC
Caorso,033010,4842,Piacenza,PC
Arquà Petrarca,028005,1842,Padova,PD
Arre,028006,2108,Padova,PD
Arzergrande,028007,4859,Padova,PD
Bagnoli di Sopra,028008,3458,Padova,PD
Baone,028009,3086,Padova,PD
Barbona,028010,621,Padova,PD
Isolabona,008032,686,Imperia,IM
Lucinasco,008033,282,Imperia,IM
Mendatica,008034,172,Imperia,IM
Molini di Triora,008035,614,Imperia,IM
Montegrosso Pian Latte,008037,113,Imperia,IM
Olivetta San Michele,008038,193,Imperia,IM
Provaglio Val Sabbia,017157,893,Brescia,BS
Puegnago del Garda,017158,3477,Brescia,BS
Remedello,017160,3399,Brescia,BS
Roccafranca,017162,4800,Brescia,BS
Roè Volciano,017164,4430,Brescia,BS
Sabbio Chiese,017168,3979,Brescia,BS
Sale Marasino,017169,3350,Brescia,BS
Tromello,018164,3736,Pavia,PV
Trovo,018165,1023,Pavia,PV
Val di Nizza,018166,582,Pavia,PV
Valeggio,018167,209,Pavia,PV
Valle Lomellina,018168,2149,Pavia,PV
Valle Salimbene,018169,1481,Pavia,PV
Varzi,018171,3094,Pavia,PV
Velezzo Lomellina,018172,98,Pavia,PV
