COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS
Entratico,"016094","2010","16","0"
Fara Olivana con Sola,"016097","1294","16","0"
Filago,"016098","3121","16","0"
Fino del Monte,"016099","1137","16","0"
Porto Valtravaglia,"012114","2330","12","0"
Rancio Valcuvia,"012115","930","12","0"
Ranco,"012116","1310","12","0"
Saltrio,"012117","3083","12","0"
Solbiate Arno,"012121","4081","12","0"
Taino,"012125","3676","12","0"
Ternate,"012126","2592","12","0"
Travedona-Monate,"012128","4079","12","0"
Tronzano Lago Maggiore,"012129","227","12","0"
Sondalo,"014060","4043","14","0"
Spriana,"014062","81","14","0"
Talamona,"014063","4684","14","0"
Tartano,"014064","195","14","0"
Teglio,"014065","4524","14","0"
Torre di Santa Maria,"014067","751","14","0"
Tovo di Sant'Agata,"014068","647","14","0"
Traona,"014069","2853","14","0"
Tresivio,"014070","2016","14","0"
Cevo,"017051","843","17","0"
Cigole,"017053","1524","17","0"
Cimbergo,"017054","536","17","0"
Cividate Camuno,"017055","2738","17","0"
Collebeato,"017057","4598","17","0"
Collio,"017058","2037","17","0"
Comezzano-Cizzago,"017060","4012","17","0"
Fiorano al Serio,"016100","2996","16","0"
Fontanella,"016101","4726","16","0"
Fonteno,"016102","565","16","0"
Foppolo,"016103","187","16","0"
Foresto Sparso,"016104","3085","16","0"
Fornovo San Giovanni,"016105","3428","16","0"
Fuipiano Valle Imagna,"016106","207","16","0"
Gandellino,"016107","998","16","0"
Gandosso,"016109","1491","16","0"
Gaverina Terme,"016110","856","16","0"
Gorno,"016116","1519","16","0"
Valganna,"012131","1591","12","0"
Varano Borghi,"012132","2453","12","0"
Vizzola Ticino,"012140","572","12","0"
Sangiano,"012141","1490","12","0"
Maccagno con Pino e Veddasca,"012142","2580","12","0"
Cadrezzate con Osmate,"012143","2672","12","0"
Albese con Cassano,"013004","4222","13","0"
Albiolo,"013005","2730","13","0"
Alserio,"013006","1294","13","0"
Valdidentro,"014071","4179","14","0"
Valdisotto,"014072","3614","14","0"
Valfurva,"014073","2551","14","0"
Val Masino,"014074","868","14","0"
Verceia,"014075","1076","14","0"
Vervio,"014076","214","14","0"
Villa di Chiavenna,"014077","956","14","0"
Corteno Golgi,"017063","1927","17","0"
Corzano,"017064","1420","17","0"
Edolo,"017068","4474","17","0"
Gromo,"016118","1195","16","0"
Grone,"016119","886","16","0"
Isola di Fondra,"016121","173","16","0"
Isso,"016122","648","16","0"
Lallio,"016123","4162","16","0"
Leffe,"016124","4411","16","0"
Lenna,"016125","574","16","0"
Levate,"016126","3748","16","0"
Locatello,"016127","831","16","0"
Lurano,"016129","2863","16","0"
Luzzana,"016130","894","16","0"
Madone,"016131","4083","16","0"
Mezzoldo,"016134","162","16","0"
Alzate Brianza,"013007","4900","13","0"
Anzano del Parco,"013009","1835","13","0"
Argegno,"013011","679","13","0"
Asso,"013013","3572","13","0"
Barni,"013015","582","13","0"
Bene Lario,"013021","329","13","0"
Beregazzo con Figliaro,"013022","2780","13","0"
Binago,"013023","4792","13","0"
Bizzarone,"013024","1722","13","0"
Blessagno,"013025","286","13","0"
Blevio,"013026","1217","13","0"
Brenna,"013029","2180","13","0"
Brienno,"013030","330","13","0"
Brunate,"013032","1685","13","0"
Bulgarograsso,"013034","4081","13","0"
Caglio,"013037","494","13","0"
Campione d'Italia,"013040","2003","13","0"
Villa di Tirano,"014078","2969","14","0"
Albairate,"015005","4735","15","0"
Basiano,"015014","3702","15","0"
Bellinzago Lombardo,"015016","3868","15","0"
Bernate Ticino,"015019","3059","15","0"
Besate,"015022","2054","15","0"
Boffalora sopra Ticino,"015026","4093","15","0"
Fiesse,"017071","2022","17","0"
Gambara,"017073","4660","17","0"
Gardone Riviera,"017074","2658","17","0"
Gargnano,"017076","2826","17","0"
Gianico,"017079","2143","17","0"
Campo di Trens,"021016","2667","21","0"
Castelbello-Ciardes,"021018","2286","21","0"
Diano San Pietro,"008028","1106","8","0"
Dolceacqua,"008029","2068","8","0"
Dolcedo,"008030","1323","8","0"
Brissago-Valtravaglia,"012022","1240","12","0"
Brunello,"012023","937","12","0"
Ardenno,"014005","3257","14","0"
Bema,"014006","118","14","0"
Berbenno di Valtellina,"014007","4098","14","0"
Bianzone,"014008","1295","14","0"
Bormio,"014009","4161","14","0"
Buglio in Monte,"014010","1999","14","0"
Caiolo,"014011","1084","14","0"
Campodolcino,"014012","934","14","0"
Caspoggio,"014013","1367","14","0"
Castello dell'Acqua,"014014","619","14","0"
Castione Andevenno,"014015","1575","14","0"
Cedrasco,"014016","430","14","0"
Cercino,"014017","794","14","0"
Costa Serina,"016247","897","16","0"
Algua,"016248","658","16","0"
Cornalba,"016249","297","16","0"
Medolago,"016250","2402","16","0"
Solza,"016251","2038","16","0"
Sant'Omobono Terme,"016252","3892","16","0"
Val Brembilla,"016253","4256","16","0"
Acquafredda,"017001","1504","17","0"
Agnosine,"017003","1665","17","0"
Alfianello,"017004","2425","17","0"
Anfo,"017005","467","17","0"
Averara,"016014","182","16","0"
Aviatico,"016015","557","16","0"
Azzone,"016017","388","16","0"
Bagnatica,"016018","4396","16","0"
Barbata,"016019","698","16","0"
Bariano,"016020","4237","16","0"
Barzana,"016021","2001","16","0"
Bedulita,"016022","709","16","0"
Berbenno,"016023","2443","16","0"
Berzo San Fermo,"016025","1397","16","0"
Bianzano,"016026","590","16","0"
Blello,"016027","76","16","0"
Borgo di Terzo,"016032","1166","16","0"
Brusimpiano,"012024","1179","12","0"
Buguggiate,"012025","3127","12","0"
Cadegliano-Viconago,"012027","2212","12","0"
Cantello,"012030","4764","12","0"
Caravate,"012031","2595","12","0"
Caronno Varesino,"012035","4882","12","0"
Casale Litta,"012036","2719","12","0"
Casalzuigno,"012037","1384","12","0"
Casciago,"012038","3705","12","0"
Cassano Valcuvia,"012041","662","12","0"
Castello Cabiaglio,"012043","559","12","0"
Castelseprio,"012044","1305","12","0"
Castelveccana,"012045","1961","12","0"
Chiesa in Valmalenco,"014019","2433","14","0"
Chiuro,"014020","2525","14","0"
Cino,"014021","340","14","0"
Civo,"014022","1127","14","0"
Colorina,"014023","1377","14","0"
Dazio,"014025","457","14","0"
Delebio,"014026","3344","14","0"
Dubino,"014027","3711","14","0"
Faedo Valtellino,"014028","554","14","0"
Forcola,"014029","796","14","0"
Fusine,"014030","562","14","0"
Angolo Terme,"017006","2344","17","0"
Artogne,"017007","3614","17","0"
Azzano Mella,"017008","3396","17","0"
Bagolino,"017010","3807","17","0"
Barbariga,"017011","2320","17","0"
Barghe,"017012","1159","17","0"
Bassano Bresciano,"017013","2329","17","0"
Berlingo,"017015","2791","17","0"
Berzo Demo,"017016","1582","17","0"
Berzo Inferiore,"017017","2468","17","0"
Bossico,"016033","999","16","0"
Bracca,"016035","715","16","0"
Branzi,"016036","694","16","0"
Brumano,"016041","114","16","0"
Calvenzano,"016047","4304","16","0"
Camerata Cornello,"016048","599","16","0"
Canonica d'Adda,"016049","4327","16","0"
Capizzone,"016050","1210","16","0"
Grezzago,"015110","3071","15","0"
Gudo Visconti,"015112","1622","15","0"
Liscate,"015122","4134","15","0"
Rondanina,"010050","62","10","0"
Rossiglione,"010051","2628","10","0"
Rovegno,"010052","506","10","0"
San Colombano Certenoli,"010053","2618","10","0"
Santo Stefano d'Aveto,"010056","1057","10","0"
Savignone,"010057","3083","10","0"
Garzeno,"013106","708","13","0"
Gera Lario,"013107","1035","13","0"
Grandate,"013110","2852","13","0"
Grandola ed Uniti,"013111","1325","13","0"
Griante,"013113","620","13","0"
Laglio,"013119","891","13","0"
Laino,"013120","531","13","0"
Lambrugo,"013121","2489","13","0"
Lasnigo,"013123","471","13","0"
Lezzeno,"013126","2024","13","0"
Limido Comasco,"013128","3898","13","0"
Livo,"013130","166","13","0"
Locate Varesino,"013131","4337","13","0"
Longone al Segrino,"013134","1937","13","0"
Pontida,"016171","3358","16","0"
Pradalunga,"016173","4592","16","0"
Predore,"016174","1880","16","0"
Premolo,"016175","1102","16","0"
Presezzo,"016176","4839","16","0"
Pumenengo,"016177","1699","16","0"
Ranzanico,"016179","1230","16","0"
Riva di Solto,"016180","913","16","0"
Rogno,"016182","3871","16","0"
Roncobello,"016184","420","16","0"
Roncola,"016185","801","16","0"
Rota d'Imagna,"016186","920","16","0"
Masate,"015136","3634","15","0"
Mesero,"015144","4231","15","0"
Morimondo,"015150","1057","15","0"
Nosate,"015155","649","15","0"
Noviglio,"015158","4577","15","0"
Sori,"010060","4078","10","0"
Tiglieto,"010061","513","10","0"
Torriglia,"010062","2219","10","0"
Tribogna,"010063","592","10","0"
Uscio,"010064","2171","10","0"
Valbrevenna,"010065","764","10","0"
Vobbia,"010066","370","10","0"
Zoagli,"010067","2400","10","0"
Ameglia,"011001","4364","11","0"
Beverino,"011003","2329","11","0"
Luisago,"013135","2767","13","0"
Lurago Marinone,"013137","2596","13","0"
Magreglio,"013139","652","13","0"
Maslianico,"013144","3269","13","0"
Menaggio,"013145","3124","13","0"
Merone,"013147","4092","13","0"
Moltrasio,"013152","1596","13","0"
Monguzzo,"013153","2378","13","0"
Montemezzo,"013155","221","13","0"
Montorfano,"013157","2600","13","0"
Musso,"013160","958","13","0"
Nesso,"013161","1202","13","0"
Novedrate,"013163","2863","13","0"
Oltrona di San Mamette,"013169","2404","13","0"
Orsenigo,"013170","2703","13","0"
Rovetta,"016187","4158","16","0"
San Giovanni Bianco,"016188","4732","16","0"
San Pellegrino Terme,"016190","4827","16","0"
Santa Brigida,"016191","540","16","0"
Schilpario,"016195","1153","16","0"
Sedrina,"016196","2510","16","0"
Selvino,"016197","2020","16","0"
Ossona,"015164","4326","15","0"
Ozzero,"015165","1435","15","0"
Bonassola,"011005","836","11","0"
Borghetto di Vara,"011006","901","11","0"
Brugnato,"011007","1290","11","0"
Calice al Cornoviglio,"011008","1087","11","0"
Carro,"011009","520","11","0"
Carrodano,"011010","486","11","0"
Deiva Marina,"011012","1373","11","0"
Framura,"011014","629","11","0"
Peglio,"013178","186","13","0"
Pianello del Lario,"013183","1062","13","0"
Pigra,"013184","237","13","0"
Plesio,"013185","834","13","0"
Pognana Lario,"013186","692","13","0"
Ponna,"013187","233","13","0"
Ponte Lambro,"013188","4364","13","0"
Porlezza,"013189","4947","13","0"
Proserpio,"013192","944","13","0"
Pusiano,"013193","1383","13","0"
Rezzago,"013195","305","13","0"
Rodero,"013197","1308","13","0"
Ronago,"013199","1715","13","0"
Sala Comacina,"013203","508","13","0"
San Bartolomeo Val Cavargna,"013204","991","13","0"
San Nazzaro Val Cavargna,"013207","290","13","0"
Schignano,"013211","870","13","0"
Senna Comasco,"013212","3158","13","0"
Serina,"016199","2062","16","0"
Solto Collina,"016200","1804","16","0"
Songavazzo,"016201","710","16","0"
Sotto il Monte Giovanni XXIII,"016203","4497","16","0"
Spinone al Lago,"016205","996","16","0"
Strozza,"016208","1068","16","0"
Suisio,"016209","3820","16","0"
Taleggio,"016210","546","16","0"
Tavernola Bergamasca,"016211","2018","16","0"
Robecchetto con Induno,"015183","4853","15","0"
Rodano,"015185","4586","15","0"
San Zenone al Lambro,"015202","4466","15","0"
Maissana,"011018","615","11","0"
Monterosso al Mare,"011019","1402","11","0"
Pignone,"011021","542","11","0"
Portovenere,"011022","3420","11","0"
Riccò del Golfo di Spezia,"011023","3628","11","0"
Riomaggiore,"011024","1429","11","0"
Sorico,"013216","1234","13","0"
Sormano,"013217","640","13","0"
Stazzona,"013218","617","13","0"
Torno,"013223","1150","13","0"
Trezzone,"013226","232","13","0"
Uggiate-Trevano,"013228","4940","13","0"
Valbrona,"013229","2665","13","0"
Valmorea,"013232","2687","13","0"
Val Rezzo,"013233","162","13","0"
Valsolda,"013234","1499","13","0"
Veleso,"013236","200","13","0"
Veniano,"013238","3064","13","0"
Vercana,"013239","756","13","0"
Ceretto Lomellina,"018044","181","18","0"
Cergnago,"018045","707","18","0"
Cervesina,"018047","1180","18","0"
Chignolo Po,"018048","3984","18","0"
Cigognola,"018049","1304","18","0"
Codevilla,"018051","958","18","0"
Confienza,"018052","1580","18","0"
Copiano,"018053","1772","18","0"
Corana,"018054","772","18","0"
Persico Dosimo,"019068","3383","19","0"
Pescarolo ed Uniti,"019069","1518","19","0"
Pessina Cremonese,"019070","609","19","0"
Pianengo,"019072","2527","19","0"
Pieranica,"019073","1130","19","0"
Pieve d'Olmi,"019074","1269","19","0"
Pieve San Giacomo,"019075","1597","19","0"
Pozzaglio ed Uniti,"019077","1441","19","0"
Quintano,"019078","894","19","0"
Ricengo,"019079","1773","19","0"
Ripalta Arpina,"019080","1001","19","0"
Ripalta Cremasca,"019081","3417","19","0"
Ripalta Guerina,"019082","526","19","0"
Rivarolo del Re ed Uniti,"019083","1869","19","0"
Naz-Sciaves,"021057","3245","21","0"
Nova Levante,"021058","1999","21","0"
Nova Ponente,"021059","3977","21","0"
Ora,"021060","3875","21","0"
Ortisei,"021061","4864","21","0"
Parcines,"021062","3815","21","0"
Perca,"021063","1598","21","0"
Plaus,"021064","737","21","0"
Ponte Gardena,"021065","191","21","0"
Roccavignale,"009054","773","9","0"
Sassello,"009055","1767","9","0"
Spotorno,"009057","3626","9","0"
Stella,"009058","2960","9","0"
Stellanello,"009059","839","9","0"
Testico,"009060","172","9","0"
Toirano,"009061","2695","9","0"
Tovo San Giacomo,"009062","2577","9","0"
Urbe,"009063","688","9","0"
Corvino San Quirico,"018057","1027","18","0"
Costa de' Nobili,"018058","395","18","0"
Cozzo,"018059","367","18","0"
Cura Carpignano,"018060","4928","18","0"
Dorno,"018061","4615","18","0"
Ferrera Erbognone,"018062","1097","18","0"
Filighera,"018063","810","18","0"
Fortunago,"018064","358","18","0"
Frascarolo,"018065","1160","18","0"
Galliavola,"018066","194","18","0"
Gambarana,"018067","209","18","0"
Robecco d'Oglio,"019085","2287","19","0"
Romanengo,"019086","3169","19","0"
Salvirola,"019087","1151","19","0"
San Bassano,"019088","2182","19","0"
San Daniele Po,"019089","1319","19","0"
San Giovanni in Croce,"019090","1910","19","0"
San Martino del Lago,"019091","406","19","0"
Scandolara Ravara,"019092","1347","19","0"
Scandolara Ripa d'Oglio,"019093","545","19","0"
Sergnano,"019094","3542","19","0"
Sesto ed Uniti,"019095","3266","19","0"
Solarolo Rainerio,"019096","940","19","0"
Postal,"021066","1903","21","0"
Prato allo Stelvio,"021067","3646","21","0"
Predoi,"021068","545","21","0"
Proves,"021069","256","21","0"
Racines,"021070","4538","21","0"
Rasun-Anterselva,"021071","2911","21","0"
Vendone,"009066","362","9","0"
Vezzi Portio,"009067","804","9","0"
Villanova d'Albenga,"009068","2774","9","0"
Zuccarello,"009069","296","9","0"
Avegno,"010002","2525","10","0"
Bargagli,"010003","2613","10","0"
Bogliasco,"010004","4450","10","0"
Borzonasca,"010005","1946","10","0"
Gerenzago,"018071","1411","18","0"
Godiasco Salice Terme,"018073","3243","18","0"
Golferenzo,"018074","189","18","0"
Gravellona Lomellina,"018075","2738","18","0"
Gropello Cairoli,"018076","4389","18","0"
Inverno e Monteleone,"018077","1471","18","0"
Langosco,"018079","360","18","0"
Lardirago,"018080","1154","18","0"
Linarolo,"018081","2830","18","0"
Sospiro,"019099","3127","19","0"
Spinadesco,"019100","1491","19","0"
Spineda,"019101","616","19","0"
Stagno Lombardo,"019103","1502","19","0"
Ticengo,"019104","420","19","0"
Torlino Vimercati,"019105","473","19","0"
Tornata,"019106","458","19","0"
Torre de' Picenardi,"019107","2079","19","0"
Torricella del Pizzo,"019108","592","19","0"
Trescore Cremasco,"019109","2809","19","0"
Trigolo,"019110","1688","19","0"
Vaiano Cremasco,"019111","3655","19","0"
Vailate,"019112","4527","19","0"
Rifiano,"021073","1394","21","0"
Rio di Pusteria,"021074","3161","21","0"
Rodengo,"021075","1262","21","0"
Salorno sulla strada del vino,"021076","3807","21","0"
Campo Ligure,"010008","2841","10","0"
Carasco,"010010","3743","10","0"
Casella,"010012","3146","10","0"
Castiglione Chiavarese,"010013","1569","10","0"
Ceranesi,"010014","3735","10","0"
Cicagna,"010016","2375","10","0"
Coreglia Ligure,"010019","277","10","0"
Crocefieschi,"010020","523","10","0"
Lirio,"018082","125","18","0"
Lomello,"018083","2107","18","0"
Lungavilla,"018084","2459","18","0"
Magherno,"018085","1743","18","0"
Marcignago,"018086","2507","18","0"
Marzano,"018087","1661","18","0"
Menconico,"018089","355","18","0"
Mezzana Bigli,"018090","1053","18","0"
Mezzana Rabattone,"018091","472","18","0"
Mezzanino,"018092","1347","18","0"
Miradolo Terme,"018093","3830","18","0"
Montalto Pavese,"018094","884","18","0"
Montebello della Battaglia,"018095","1543","18","0"
Vescovato,"019113","3891","19","0"
Volongo,"019114","487","19","0"
Voltido,"019115","340","19","0"
Piadena Drizzona,"019116","3959","19","0"
Acquanegra sul Chiese,"020001","2815","20","0"
Bozzolo,"020007","4168","20","0"
Canneto sull'Oglio,"020008","4292","20","0"
Casalmoro,"020010","2232","20","0"
San Candido,"021077","3349","21","0"
San Genesio Atesino,"021079","3074","21","0"
San Leonardo in Passiria,"021080","3569","21","0"
San Lorenzo di Sebato,"021081","3879","21","0"
San Martino in Badia,"021082","1754","21","0"
Davagna,"010021","1842","10","0"
Fascia,"010022","65","10","0"
Favale di Malvaro,"010023","452","10","0"
Fontanigorda,"010024","253","10","0"
Longhena,"017093","557","17","0"
Losine,"017094","611","17","0"
Lozio,"017095","386","17","0"
Maclodio,"017097","1466","17","0"
Magasa,"017098","110","17","0"
Mairano,"017099","3542","17","0"
Malegno,"017100","2003","17","0"
Malonno,"017101","3106","17","0"
Montecalvo Versiggia,"018096","520","18","0"
Montescano,"018097","408","18","0"
Montesegale,"018098","271","18","0"
Monticelli Pavese,"018099","693","18","0"
Montù Beccaria,"018100","1658","18","0"
Mornico Losana,"018101","626","18","0"
Nicorvo,"018103","289","18","0"
Olevano di Lomellina,"018104","721","18","0"
Oliva Gessi,"018105","169","18","0"
Ottobiano,"018106","1098","18","0"
Palestro,"018107","1884","18","0"
Pancarana,"018108","313","18","0"
Casaloldo,"020011","2755","20","0"
Rivarolo Mantovano,"020050","2474","20","0"
Sabbioneta,"020054","4124","20","0"
San Giacomo delle Segnate,"020056","1520","20","0"
San Martino in Passiria,"021083","3244","21","0"
San Pancrazio,"021084","1541","21","0"
Santa Cristina Valgardena,"021085","2015","21","0"
Scena,"021087","2916","21","0"
Marcheno,"017104","4274","17","0"
Marmentino,"017105","655","17","0"
Marone,"017106","3146","17","0"
Milzano,"017108","1733","17","0"
Moniga del Garda,"017109","2621","17","0"
Monno,"017110","536","17","0"
Monte Isola,"017111","1688","17","0"
Monticelli Brusati,"017112","4558","17","0"
Mura,"017115","780","17","0"
Muscoline,"017116","2675","17","0"
Parona,"018109","1940","18","0"
Pietra de' Giorgi,"018111","808","18","0"
Pieve Albignola,"018112","872","18","0"
Pieve del Cairo,"018113","1828","18","0"
Pieve Porto Morone,"018114","2655","18","0"
Pinarolo Po,"018115","1714","18","0"
Pizzale,"018116","692","18","0"
Ponte Nizza,"018117","779","18","0"
Portalbera,"018118","1480","18","0"
Rea,"018119","410","18","0"
Redavalle,"018120","1037","18","0"
San Giovanni del Dosso,"020058","1247","20","0"
San Martino dall'Argine,"020059","1678","20","0"
Schivenoglia,"020060","1132","20","0"
Serravalle a Po,"020062","1471","20","0"
Solferino,"020063","2686","20","0"
Sustinente,"020064","2048","20","0"
Selva dei Molini,"021088","1421","21","0"
Selva di Val Gardena,"021089","2586","21","0"
Senales,"021091","1245","21","0"
Sesto,"021092","1879","21","0"
Niardo,"017118","2018","17","0"
Nuvolento,"017119","3923","17","0"
Nuvolera,"017120","4758","17","0"
Odolo,"017121","1929","17","0"
Offlaga,"017122","4077","17","0"
Ome,"017123","3208","17","0"
Ono San Pietro,"017124","980","17","0"
Orzivecchi,"017126","2484","17","0"
Ossimo,"017128","1530","17","0"
Padenghe sul Garda,"017129","4729","17","0"
Paderno Franciacorta,"017130","3671","17","0"
Retorbido,"018121","1577","18","0"
Robecco Pavese,"018124","541","18","0"
Rocca de' Giorgi,"018125","83","18","0"
Rocca Susella,"018126","209","18","0"
Rognano,"018127","626","18","0"
Romagnese,"018128","629","18","0"
Roncaro,"018129","1558","18","0"
Rosasco,"018130","555","18","0"
Rovescala,"018131","875","18","0"
San Cipriano Po,"018133","489","18","0"
San Damiano al Colle,"018134","643","18","0"
San Genesio ed Uniti,"018135","3952","18","0"
San Giorgio di Lomellina,"018136","1060","18","0"
Villimpenta,"020068","2149","20","0"
Borgocarbonara,"020073","1928","20","0"
Sluderno,"021094","1839","21","0"
Stelvio,"021095","1150","21","0"
Terento,"021096","1759","21","0"
Terlano,"021097","4538","21","0"
Termeno sulla strada del vino,"021098","3438","21","0"
Tesimo,"021099","1994","21","0"
Tires,"021100","1010","21","0"
Tirolo,"021101","2443","21","0"
Paisco Loveno,"017131","175","17","0"
Paitone,"017132","2126","17","0"
Paratico,"017134","4853","17","0"
Paspardo,"017135","599","17","0"
Pavone del Mella,"017137","2763","17","0"
San Paolo,"017138","4495","17","0"
Pertica Alta,"017139","540","17","0"
Pertica Bassa,"017140","605","17","0"
Pezzaze,"017141","1469","17","0"
Pian Camuno,"017142","4770","17","0"
Santa Cristina e Bissone,"018139","1900","18","0"
Santa Giuletta,"018140","1592","18","0"
Sant'Alessio con Vialone,"018141","973","18","0"
Santa Margherita di Staffora,"018142","472","18","0"
Santa Maria della Versa,"018143","2299","18","0"
Sant'Angelo Lomellina,"018144","793","18","0"
San Zenone al Po,"018145","553","18","0"
Sartirana Lomellina,"018146","1539","18","0"
Scaldasole,"018147","887","18","0"
Semiana,"018148","204","18","0"
Silvano Pietra,"018149","663","18","0"
Aldino,"021001","1656","21","0"
Andriano,"021002","1038","21","0"
Anterivo,"021003","395","21","0"
Avelengo,"021005","780","21","0"
Badia,"021006","3471","21","0"
Barbiano,"021007","1754","21","0"
Castellaro,"008014","1228","8","0"
Castel Vittorio,"008015","274","8","0"
Ceriana,"008016","1164","8","0"
Cervo,"008017","1138","8","0"
Cesio,"008018","267","8","0"
Chiusanico,"008019","575","8","0"
Chiusavecchia,"008020","512","8","0"
Cipressa,"008021","1226","8","0"
Civezza,"008022","602","8","0"
Cosio d'Arroscia,"008023","187","8","0"
Costarainera,"008024","780","8","0"
Diano Arentino,"008025","684","8","0"
Diano Castello,"008026","2275","8","0"
Polaveno,"017144","2475","17","0"
Polpenazze del Garda,"017145","2710","17","0"
Pompiano,"017146","3769","17","0"
Ponte di Legno,"017148","1752","17","0"
Pozzolengo,"017151","3570","17","0"
Pralboino,"017152","2892","17","0"
Preseglie,"017153","1533","17","0"
Sommo,"018151","1164","18","0"
Spessa,"018152","526","18","0"
Suardi,"018154","616","18","0"
Torrazza Coste,"018155","1608","18","0"
Torre Beretti e Castellaro,"018156","554","18","0"
Torre d'Arese,"018157","939","18","0"
Torre de' Negri,"018158","316","18","0"
Torre d'Isola,"018159","2410","18","0"
Torrevecchia Pia,"018160","3538","18","0"
Torricella Verzate,"018161","823","18","0"
Travacò Siccomario,"018162","4463","18","0"
Trivolzio,"018163","2330","18","0"
Braies,"021009","654","21","0"
Brennero,"021010","2252","21","0"
Bronzolo,"021012","2783","21","0"
Caines,"021014","386","21","0"
San Polo di Piave,"026074","4916","26","0"
Fossalta di Piave,"027015","4149","27","0"
Gruaro,"027018","2771","27","0"
Treppo Ligosullo,"030191","710","30","0"
Capriva del Friuli,"031001","1641","31","0"
Doberdò del Lago,"031003","1351","31","0"
Dolegna del Collio,"031004","329","31","0"
Farra d'Isonzo,"031005","1674","31","0"
Fogliano Redipuglia,"031006","3040","31","0"
Mariano del Friuli,"031010","1477","31","0"
Lusia,"029031","3415","29","0"
Melara,"029032","1734","29","0"
Papozze,"029034","1433","29","0"
Pettorazza Grimani,"029035","1528","29","0"
Pincara,"029036","1135","29","0"
Polesella,"029037","3824","29","0"
Pontecchio Polesine,"029038","2191","29","0"
Pellegrino Parmense,"034028","983","34","0"
Roccabianca,"034030","2923","34","0"
Solignano,"034035","1717","34","0"
Soragna,"034036","4830","34","0"
Medea,"031011","977","31","0"
Moraro,"031013","710","31","0"
Mossa,"031014","1552","31","0"
Romans d'Isonzo,"031015","3704","31","0"
Sagrado,"031017","2181","31","0"
San Floriano del Collio,"031019","755","31","0"
San Lorenzo Isontino,"031020","1536","31","0"
San Pier d'Isonzo,"031021","1989","31","0"
Savogna d'Isonzo,"031022","1701","31","0"
Pramaggiore,"027030","4680","27","0"
Salara,"029042","1115","29","0"
San Bellino,"029043","1067","29","0"
San Martino di Venezze,"029044","3848","29","0"
Stienta,"029045","3153","29","0"
Trecenta,"029047","2625","29","0"
Terenzo,"034038","1197","34","0"
Tizzano Val Parma,"034039","2117","34","0"
Tornolo,"034040","916","34","0"
Valmozzola,"034044","528","34","0"
Turriaco,"031024","2857","31","0"
Villesse,"031025","1685","31","0"
Monrupino,"032002","863","32","0"
Sgonico,"032005","2030","32","0"
Teglio Veneto,"027040","2273","27","0"
Torre di Mosto,"027041","4786","27","0"
Villadose,"029048","4929","29","0"
Villamarzana,"029049","1140","29","0"
Villanova del Ghebbo,"029050","1976","29","0"
Villanova Marchesana,"029051","898","29","0"
Aiello del Friuli,"030001","2211","30","0"
Amaro,"030002","849","30","0"
Ampezzo,"030003","959","30","0"
Aquileia,"030004","3225","30","0"
Arta Terme,"030005","2068","30","0"
Varano de' Melegari,"034045","2616","34","0"
Varsi,"034046","1178","34","0"
Polesine Zibello,"034050","3205","34","0"
Agazzano,"033001","2002","33","0"
Alseno,"033002","4697","33","0"
Besenzone,"033003","954","33","0"
Agna,"028002","3213","28","0"
Anguillara Veneta,"028004","4248","28","0"
Artegna,"030006","2885","30","0"
Attimis,"030007","1710","30","0"
Bagnaria Arsa,"030008","3428","30","0"
Bertiolo,"030010","2418","30","0"
Bicinicco,"030011","1821","30","0"
Bordano,"030012","710","30","0"
Buttrio,"030014","3930","30","0"
Camino al Tagliamento,"030015","1577","30","0"
Carlino,"030018","2775","30","0"
Cassacco,"030019","2862","30","0"
Baiso,"035003","3225","35","0"
Carpineti,"035011","3956","35","0"
Bettola,"033004","2685","33","0"
Bobbio,"033005","3548","33","0"
Calendasco,"033008","2410","33","0"
Caorso,"033010","4842","33","0"
Arquà Petrarca,"028005","1842","28","0"
Arre,"028006","2108","28","0"
Arzergrande,"028007","4859","28","0"
Bagnoli di Sopra,"028008","3458","28","0"
Baone,"028009","3086","28","0"
Barbona,"028010","621","28","0"
Isolabona,"008032","686","8","0"
Lucinasco,"008033","282","8","0"
Mendatica,"008034","172","8","0"
Molini di Triora,"008035","614","8","0"
Montegrosso Pian Latte,"008037","113","8","0"
Olivetta San Michele,"008038","193","8","0"
Provaglio Val Sabbia,"017157","893","17","0"
Puegnago del Garda,"017158","3477","17","0"
Remedello,"017160","3399","17","0"
Roccafranca,"017162","4800","17","0"
Roè Volciano,"017164","4430","17","0"
Sabbio Chiese,"017168","3979","17","0"
Sale Marasino,"017169","3350","17","0"
Tromello,"018164","3736","18","0"
Trovo,"018165","1023","18","0"
Val di Nizza,"018166","582","18","0"
Valeggio,"018167","209","18","0"
Valle Lomellina,"018168","2149","18","0"
Valle Salimbene,"018169","1481","18","0"
Varzi,"018171","3094","18","0"
Velezzo Lomellina,"018172","98","18","0"
Vellezzo Bellini,"018173","3355","18","0"
Verretto,"018174","375","18","0"
Verrua Po,"018175","1253","18","0"
Trodena nel parco naturale,"021102","1056","21","0"
Tubre,"021103","958","21","0"
Ultimo,"021104","2911","21","0"
Vadena,"021105","1050","21","0"
Valdaora,"021106","3170","21","0"
Val di Vizze,"021107","3090","21","0"
Ospedaletti,"008039","3154","8","0"
Perinaldo,"008040","833","8","0"
Pietrabruna,"008041","449","8","0"
Pieve di Teco,"008042","1346","8","0"
