COMUNE,PRO_COM_T,Abitanti,COD_PROV,CC_UTS,den_uts,sigla
Piscina,"001195","3350","1","0",Torino,TO
Piverone,"001196","1373","1","0",Torino,TO
Pomaretto,"001198","986","1","0",Torino,TO
Pont-Canavese,"001199","3210","1","0",Torino,TO
Porte,"001200","1054","1","0",Torino,TO
Pragelato,"001201","770","1","0",Torino,TO
Prali,"001202","248","1","0",Torino,TO
Pralormo,"001203","1908","1","0",Torino,TO
Pramollo,"001204","217","1","0",Torino,TO
Prarostino,"001205","1270","1","0",Torino,TO
Prascorsano,"001206","731","1","0",Torino,TO
Pratiglione,"001207","481","1","0",Torino,TO
Quagliuzzo,"001208","330","1","0",Torino,TO
Quassolo,"001209","352","1","0",Torino,TO
Quincinetto,"001210","1029","1","0",Torino,TO
Reano,"001211","1776","1","0",Torino,TO
Ribordone,"001212","49","1","0",Torino,TO
Rivalba,"001213","1162","1","0",Torino,TO
Riva presso Chieri,"001215","4765","1","0",Torino,TO
Rivara,"001216","2537","1","0",Torino,TO
Rivarossa,"001218","1577","1","0",Torino,TO
Robassomero,"001220","3031","1","0",Torino,TO
Rocca Canavese,"001221","1716","1","0",Torino,TO
Roletto,"001222","2026","1","0",Torino,TO
Romano Canavese,"001223","2665","1","0",Torino,TO
Ronco Canavese,"001224","299","1","0",Torino,TO
Rondissone,"001225","1883","1","0",Torino,TO
Rorà,"001226","231","1","0",Torino,TO
Roure,"001227","789","1","0",Torino,TO
Rubiana,"001229","2385","1","0",Torino,TO
Rueglio,"001230","785","1","0",Torino,TO
Salassa,"001231","1842","1","0",Torino,TO
Salbertrand,"001232","623","1","0",Torino,TO
Salerano Canavese,"001233","468","1","0",Torino,TO
Salza di Pinerolo,"001234","75","1","0",Torino,TO
Samone,"001235","1532","1","0",Torino,TO
San Carlo Canavese,"001237","4012","1","0",Torino,TO
San Colombano Belmonte,"001238","348","1","0",Torino,TO
San Didero,"001239","524","1","0",Torino,TO
San Francesco al Campo,"001240","4882","1","0",Torino,TO
Sangano,"001241","3729","1","0",Torino,TO
San Germano Chisone,"001242","1747","1","0",Torino,TO
San Gillio,"001243","3148","1","0",Torino,TO
Mompantero,"001154","643","1","0",Torino,TO
Monastero di Lanzo,"001155","335","1","0",Torino,TO
Moncenisio,"001157","33","1","0",Torino,TO
Montaldo Torinese,"001158","714","1","0",Torino,TO
Montalenghe,"001159","989","1","0",Torino,TO
Montalto Dora,"001160","3380","1","0",Torino,TO
Monteu da Po,"001162","840","1","0",Torino,TO
Moriondo Torinese,"001163","852","1","0",Torino,TO
Noasca,"001165","110","1","0",Torino,TO
Nomaglio,"001167","295","1","0",Torino,TO
Novalesa,"001169","526","1","0",Torino,TO
Oglianico,"001170","1460","1","0",Torino,TO
Orio Canavese,"001172","767","1","0",Torino,TO
